rule,D_pct,D_ratio,PoF_eff,PoF_nodal,Jain_farm,Jain_station,Gini,worst_over_mean,max_over_min,residual_hours,postcut_violations,monitored_rows_newly_over,cut_MWh,avail_MWh,hours_with_cut,N_farms,r_max,r_min,farm_r_max,farm_r_min,farms_r_zero,cut_MWh_N,cut_MWh_P,label
rule1,10.552125083965343,1.0,0.11663061689654826,0.12150074194258373,0.9704389273929964,0.9884566818813343,0.09498694866020226,1.1411717303148583,1.6734504605367906,0,0,0,217700.61623549406,2063097.3808897,777,57,0.1204178684056755,0.07195783278045124,40972-2,13471-1,0,44576.97634915654,173123.6398863375,
rule2,9.44996933121256,0.8955512994792317,0.0,0.004361446813603412,0.3229859234151991,0.39004205546360127,0.6540927169802616,4.302500747177818,1605.2149316166547,0,10,0,194962.06976712626,2063097.3808897,777,57,0.4065850010834951,0.00025329006918345354,68087-1,67059-1,0,31994.499811985872,162967.56995514038,
rule3,9.408932771357515,0.8916623615137973,-0.004342507199415471,0.0,0.3199664933003245,0.393703784261473,0.6728499486505416,4.455503028354502,inf,0,9,0,194115.44557554956,2063097.3808897,777,57,0.41921528456367324,0.0,68101-1,40471-1,1,31670.21160137606,162445.23397417346,
rule1N,10.829439855923711,1.026280466707106,0.14597619064803308,0.15097430485320032,0.49060295586255753,0.6993488492458829,0.4243410892539888,3.3108185156249292,7.94512158557997,0,0,0,223421.8900325874,2063097.3808897,777,57,0.3585430998883879,0.04512745286857877,68260-1,13471-1,0,131598.02667719667,91823.8633553907,"SEM-24-044 stated intent, not live"
band0,10.577268887739915,1.0023828189653268,0.1192913455077538,0.12417307518011247,0.999989963132874,0.9999926359454153,0.0017455556673349314,1.0040908646034128,1.0116031478402536,0,0,0,218219.3573926233,2063097.3808897,777,57,0.10620539062633551,0.10498720852449031,40971-1,16385-1,0,46645.460117310446,171573.89727531286,
band1,10.288560372195677,0.9750225940583125,0.0887400806914062,0.09348856264718006,0.9705705992232924,0.9298048977185556,0.07423703214560248,1.1003954823392763,3.259816646269678,0,2,0,212263.0195700246,2063097.3808897,777,57,0.11321485353339028,0.0347304360393846,40771-1,67059-1,0,43053.58634867978,169209.4332213448,
band2,10.134704478651301,0.960442033998598,0.07245898091723005,0.07713645372227187,0.9276691569807816,0.8730769817777164,0.13791716844637708,1.2012821516990575,5.803108156323051,0,3,0,209088.82265996613,2063097.3808897,777,57,0.1217463960294831,0.020979515244227965,40972-2,67059-1,0,39552.12669814155,169536.6959618246,
band3,10.048081696184965,0.9522329972617264,0.06329251916161073,0.06793001293123647,0.8838790359247309,0.8302189138325328,0.1951551643535805,1.3001746324725376,8.820793644558293,0,4,0,207301.71030364936,2063097.3808897,777,57,0.1306426092639132,0.014810754511246159,17078-1,67059-1,0,37102.53028721345,170199.18001643592,
band5,9.925175647534092,0.9405854809867689,0.05028654587819231,0.05486731478708329,0.7873419539595368,0.7531443109937116,0.28920765935050063,1.5062198739064294,20.981933309971563,0,4,0,204766.03883297817,2063097.3808897,777,57,0.14949496812327964,0.0071249377221227215,40972-2,40471-1,0,33023.1893940619,171742.84943891628,
band10,9.77574310539688,0.9264241115044943,0.03447352713710012,0.038985328405789305,0.5983322664118524,0.6142656268603939,0.43470446714427713,2.023019623527943,90.36997625220815,0,12,0,201683.09996994847,2063097.3808897,777,57,0.19776520136785883,0.0021883949688769177,40972-2,67059-1,0,31268.177109110515,170414.92286083798,
bandinf,9.44996933121256,0.8955512994792317,0.0,0.004361446813603412,0.3229859234151991,0.39004205546360127,0.6540927169802616,4.302500747177818,1605.2149316166547,0,10,0,194962.06976712626,2063097.3808897,777,57,0.4065850010834951,0.00025329006918345354,68087-1,67059-1,0,31994.499811985872,162967.56995514038,
