unit,station,SF_eff,cum_avail_MWh,observed_cut_MWh,cut_MWh_band0,cut_MWh_band1,cut_MWh_band2,cut_MWh_band3,cut_MWh_band5,cut_MWh_band10,cut_MWh_bandinf,r_observed,r_effectiveness
GU_400021,CUNGHILL,0.2946960353114989,3945.410500000027,280.8450000000002,309.5414252581092,305.7495587802427,341.38445861249846,380.04180382978166,455.3320948873351,646.3157137107995,1153.67537990065,0.07118270709727119,0.2924094666196691
GU_400070,MEENTYCAT,0.21868370281293054,41891.89650000012,2567.96,2864.1875402967953,3217.5079778879513,3358.7306727034565,3169.9812701072237,2888.85565446293,2131.0463397431267,1581.9566441284358,0.06129968357961528,0.03776283186721879
GU_400550,TRILLICK,0.21868307510562512,14144.557000000026,1157.2700000000002,963.8268831684251,1093.8066630549752,1188.5631096911586,1158.5008888574348,1034.9961610186203,749.3735364280428,560.7562043009822,0.08181733793430208,0.03964466361873201
GU_400940,GARVAGH,0.18715293614548584,9142.325500000074,460.17100000000005,518.124322762439,250.0783214217295,83.53386472960399,48.72407689182984,0.00018563572285544084,0.0,0.0,0.050334129976010625,0.0
GU_400950,GARVAGH,0.18715293614548584,13065.286500000198,750.549,889.5652107401382,444.83390159930286,148.0756988165611,81.08725921945508,0.15942395878825255,0.0,0.0,0.057446042228005374,0.0
GU_401280,GLENREE,0.2413325972089368,14510.46200000005,1159.5440000000003,999.0989682699276,1113.687043222021,1252.8719514291463,1380.5135499569205,1646.472795413351,2136.598802578362,2441.764058686292,0.07991089463588384,0.1682761071760695
GU_402160,CORDERRY,0.18715293614548784,3629.0240000000163,283.12049999999994,247.44793692688776,115.01342604524011,36.87166077694459,21.59726728801971,0.05038153518296664,0.0,0.0,0.07801560419550785,0.0
GU_402200,CORDERRY,0.18715293614548784,4993.1140000000105,421.8830000000002,340.9452236204358,155.63291125513706,49.851035920497274,29.99969094997804,0.06398863366827046,0.0,0.0,0.08449296370962076,0.0
GU_403750,TAWNAGHMORE,0.2130033557065313,8615.849500000006,771.0824999999993,592.5149367193269,433.2008941571577,206.51107059387417,145.10171708669696,9.73088126315422,0.0,0.0,0.08949581814306283,0.0
GU_403880,GLENREE,0.2413325972089368,14460.150500000023,695.9730000000003,987.5144283554074,1111.2015363204862,1246.2309945218901,1381.3810239831464,1654.703979794536,2078.4180768489077,2017.1468720716903,0.04813041192067809,0.1394969486708791
GU_403990,GLENREE,0.2413325972089368,8669.188000000038,644.0414999999998,598.7993354321296,665.4183782843347,747.4734970959516,828.6045832133761,992.108534932545,1239.109722742022,1374.9024949205887,0.07429086784137072,0.1585964561987331
GU_404560,TRILLICK,0.21868307510562512,3089.3455000000013,133.29949999999988,210.70446638251696,233.51333111114104,251.7975772516228,281.6844786519621,257.96860285590105,186.3346514780266,127.90692273837982,0.04314813606959786,0.041402595707854546
GU_404630,BINBANE,0.2186731758137636,4629.881500000016,453.9785,314.9857856748978,355.7922496321656,379.5354391194996,381.6501148104559,346.35180045586424,254.27509571605285,184.54406743780805,0.09805402146901566,0.03985935005848582
GU_405870,BINBANE,0.2186731758137636,2755.628500000023,147.8375,187.19096158120087,212.10147398941263,189.30713941874052,181.38737964616269,154.90149552215547,110.20953863822473,79.81467046009271,0.05364928545339068,0.028964234641967176
GU_405930,LENALEA,0.2186813098472881,15202.064500000022,1144.4419999999993,1035.6250166488155,1169.5565519394245,1247.864178786383,1187.9521827775854,1087.9166335087277,811.0167850538719,604.5460070738031,0.07528201186095465,0.0397673623259395
